,,,,,,,,,
,,SEMANA 1 ,OBSERVACIONES,SEMANA 2,OBSERVACIONES,SEMANA 3,OBSERVACIONES,SEMANA 4,OBSERVACIONES
,DIA 1,,,,,,,,
E,PUSH PRESS,4-4,dumbell 22,80%/3-3,,70%/5-4,,80%/3-4,
S,ESTOCADA FIJA ,6+6)-4 MANCUERNAS ,dumbell 22,"22,5/6+6)-3",,25/6+6)-4 MANCUERNAS ,,25/6+6)-4 MANCUERNAS ,
T,REMO EN PLANCHA ,6+6)-4,dumbell 22,"22,5/6+6)-3",,20/6+6)-4,,20/8+8)-4,
R,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
U,ARRANQUE C3,5-4,50 kg,60/4-4,,50/6-4,,60/3-4,
C,ESTOCADA + SALTO CON ROTACION ,10 disco/12-4,,10/12-4,,15/12-4,,15/12-4,
T,,EMOM 2:30,,EMOM 2:30,,EMOM 2:30,,EMOM 2:30,
U,PECHO PLANO ,5-4,70 kg,90/3-4,,80/5-4,,90/3-4,
R,PESO MUERTO B-STANCE C/KETTEL,6+6)-4,26 kg,21/8+8)-4,,80/6+6)-4,,80/6+6)-4,
A,LANZAMIENTO ABAJO C/MEDBALL,8-4,medball 9 kg ,4X10,,4X8,,4X8,
,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
,,,OBSERVACIONES,,OBSERVACIONES,,OBSERVACIONES,,OBSERVACIONES
,DIA 2 ,,,,,,,,
F,CARGADAS,3-3,80 kg,75/4-3,,85/2-3,,90/2-3,
U,SALTO CAJON ,6-3,,3X8,,3X6,,3X6,
E,,EMOM 2,,EMOM 2,,EMOM 2,,EMOM 2,
R,PESO MUERTO,5-4,100 kg,85/3-3,,80/5-3,,90/3-3,
Z,SWING ,10-4,26 kg,3X12,,3X12,,3X8,
A,MARIO BROSS,10-4,10 kg disco ,4X/8+8),,3X(8+8) 10KG,,3X(8+8) 10KG,
,,EMOM 3 ,,EMOM 3 ,,EMOM 3 ,,EMOM 3 ,
,SENTADILLAS ,4-3,120 kg ,85/3-3,,75/5-3,,80/4-3,
,TRINEO,80KG/20MTS-3,corebag 20 kg,80KG/20MTS-3,,100KG/20MTS-3,,100KG/20MTS-3,
,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
,,,OBSERVACIONES,,OBSERVACIONES,,OBSERVACIONES,,OBSERVACIONES
,DIA 3 ,,,,,,,,
,CARGADA C1,3-3,,80/2-3,,65/4-3,,70/3-3,
,JERK,3-3,,80/2-3,,65/4-3,,70/3-3,
P,SALTO ENTRE VALLAS ADELANTE,12-3,,3X8,,3X8,,3X8,
O,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
T,ARRANQUE PARADO D PISO,3-4,,60/2-3,,50/4-3,,55/3-3,
E,FLEXIONES CON APLAUSO,10-4,,3X10,,3X12,,4x8,
N,CHIN UPS ,10-4,,3X10,,3X12,,4x8,
C,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
I,BICEPS + ISOMETRICO,6+6+6)-3,,3X12,,3X(8+8+8),,3X(6+6+6),
A,VUELOS COMBINADOS,6+6+6)-3,,3X12,,3X(8+8+8),,3X(6+6+6),
,FONDOS ,12-3,,3X12,,3X12,,3X12,
,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
,,,OBSERVACIONES,,OBSERVACIONES,,OBSERVACIONES,,OBSERVACIONES
,DIA 4 ,,,,,,,,
E,PECHO 45 ,6-4,,4X8,,4X4,,4X6,
S,REMO SERRUCHO,8+8)-4,,4X/8+8),,4X6+6,,4x10+10,
T,TRICEPS POLEA,12-4,,4X12,,4X10,,4X12,
R,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
U,REMO LIBRE PENDLAY,6-4,,4X8,,4X4,,4X6,
C,FFBB C PESO,8-4,,4X8,,4X8,,4x10,
T,REMO MENTON POLEA,12-4,,4X12,,4X10,,4x12,
U,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
R,BICEPS BARRA ,12-4,,4X12,,4X8,,4X10,
A,PULL OVER DISCO ACOSTADO,12-4,,4X12,,4X8,,4x10,
,TRICEPS TRASNUCA,12-4,,4X12,,4X8,,4x10,
,,EMOM 3,,EMOM 3,,EMOM 3,,EMOM 3,
