,VUUR PROGRAMMING ,,,,,,
,,,,,,,
,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SABADO ,Domingo
,Mobility ,,,,,,
,3 sets ,3 sets ,2 sets ,,3 sets ,3 sets ,
,,10 Cat cow ,5/5 Plate WINDMILL ,,20:20 couch Stretch ,,
,,5/5 greatest Stretch ,10 /10 Halo ,,20:20 pigeon ,,
,,,15 espinales nado ,,20 puppy pose ,,
,,Midline ,Warm up split jerk ,,EMOM 15' ,,
,,3 sets ,3 sets ,,M1: 1' bici suave ,,
,,15 Plate sit up ,5 Strict press ,,M2: 1' Hand stand hold ,,
,,30 russian twist ,5 Tall jerk ,,M3: 25 sit up ,,
,,15/15 lateral plank (dinámica ) ,5 behind neck split jerk ,,M4: 20 Push up ,,
,,,,,M5: 15 hang squat clean ( barra ),,
,,FUERZA ,FUERZA ,,FUERZA ,,
,,Deadlift warm up ,SPLIT JERK ,,Every 1' x 7' : 2 clean Complex ,,
,,5x5 de carga hasta 70%,5 x 1 @85%,,1 Hang squat clean + 2 Front squat ,,
,,( % de 3 rm ),,,( cada minuto realizamos :,,
,,5 sets ,FRON SQUAT ,,2 x 1+2 .) ,,
,,5 Deadlift @70%,4 x 4 @75%,,4 rondas de carga ,,
,,10-7 Strict toes to bar ,,,3 rondas @65%,,
,,,,,,,
,,Back rack Back Lunges ,EMOM 12',,5 sets : ,,
,,4 sets : ,M1: 12 Thrusters @ 60/40kg,,- 20 Double DB Bench press *,,
,,6 / 6 Reps @50% rm Back *,M2: 24 -18 toes to bar ,,- 10 Strict pull up ,,
,,,M3: 24 KB swing (25/16),,- 10 Ring dips ,,
,,,M4: Rest ,,- 20 chainsaw DB row *,,
,,,,,- Db cargas moderadas * ,,
,,INTERVALOS ,AMRAP 15',,,,
,,2-2-2-3' on x 1' off,50 GHD sit up ,,3 ROUNDS FOR TIME ,,
,,50 singles crossovers ,30 Double kb Front rack box step over ,,30 DB Snatch alt ,,
,,25 goblet squat (30/22.5),(21/12),,30 DB Over Head lunges ,,
,,Max rep pull up / chest to bar ,10 Wallwalks Complex ,,15 lateral Burpee over the db ,,
,,Hasta completar 50 Reps ,(1 Wallwalk + 1 Inverted hspu ),,(Time cap 15'),,
,,,,,Objetivo : rx entre 11' a 13',,
,,Track Sesh ,,,Avanzados 12 a 14',,
,,4 x 1000 m Run @hard pace ,,,,,
,,2' pausa easy jog ,,,,,
