,VUUR PROGRAMMING ,,,,,,
,,,,,,,
,LUNES,MARTES,MIÉRCOLES,JUEVES,VIERNES,SABADO ,Domingo
,Mobility ,,,,,,
,2 sets ,3 sets ,3 sets ,10' movilidad general,2 sets ,WORK OUT 1,
,10 rotaciones cadera 90/90 ,"20 "" deadhang ",19 around the world bastón ,,10 / 10 Plate halo ,CHIPPER ,
,10 bootstrapper squat ,5 walk out + push up,10 ohs ,,5 / 5 Windmill ,100 WallBalls (9/6),
,10 block and twist ,10/10 https://youtube.com/shorts/70X6nujeHiM?si=pjN2_D6bJ25WhHJE,10 lunges + Samson Stretch ,,"15"" yoga Stretch ",75 Toes to Bar ,
,Warm up ,Warm up ,MIDLINE CONDITIONING ,Every 5' x 25',Warm up ,50 DB Snatch alt (30/22.5),
,EMOM 12' ,3 sets ,EMOM 16' ,(30/22 )// (25/18) cal ski erg *,Every 2' x 10',25 Burpee pull up ,
,- 10 muscle snatch ,10/10 kb row ,M1: 16 Ghd sit up ( medball) ,100 m Farmer carry (30/22.5),60 mountain climbers ,(Time cap 15'),
,- 10 sott press ,10/10 crunches desde plancha lat,M2: 16 DDB Thrusters (22.5/15),15 Burpee box jump over ,30 squat to plate ,,
,-  20 tuck up + 20 espinale,30 russian twist ( sin carga ),M3: 8 Shuttle Run ,,,WORK OUT 2,
,-  30 Air squat ,10 cossack squat ,M4: Rest ,"(Ski no debería tomar más de 1'30"")",,AMRAP 15',
,FUERZA ,FUERZA ,FUERZA ,,FUERZA ,3 Wallwalks ,
,SQUAT SNATCH + ,Hoy el bloque de fuerza se realiza ,CLEAN + FRONT + JERK ,,5 sets ,6 Double DB box step over (22.5/15),
,HANG POWER SNATCH ,Posterior a Work out 1 y 2 ,7x (1+3+1) ,PUMP SESH ,10 seated Strict Shoulder press ,9 Sand bag squats (70/50)*,
,7 x ( 1 + 2 ) ,,3 sets finales @ 85% rm cyj.,Tabata : ,( peso moderado ),12 Double DB Deadlifts (30/22.5),
,- 4 sets de carga ,BACK SQUAT : ,,A) Bicep curl x fondos ,"10 Bent Over Row ( pausa 1"")",,
,- 3 sets @70%,5 x 6 @70%,(Snatch se realiza post wod),B)db tricep sentado x pike push up ,1' pausa entre series ,* Sandbag Squat : Over Shoulder ,
,SQUAT CLEAN + ,,SNATCH CYCLING ,C) push up x bicep alt ,3 Sets ,,
,LOW HANG SQ CLEAN,SEATED STRICT SHOULDER ,4 sets : ,D) vuelos lat x remo al mentón 1db ,9 - 6 - 3 ,,
,8 x ( 1 + 1 ),PRESS ,20 lateral Burpee over the bar ,,Thrusters (80/55),WORK OUT 3,
,- 4 sets de carga,5 x 7 @ moderate to heavy weight ,3 Power Snatch touch and go ,,Bar muscle up ,4 sets ( cada 3' ),
,- 4 sets @80%,,Ronda 1: 60%,Work out opcional : ,Time cap x set 4',2 Unbroken Rope climb ,
,,,Ronda 2: 65%,Every 3' x 15' (5 Rounds ) ,Rest 1:1 ,10 m Hand stand walk ,
,SNATCH PULL ,,Ronda 3 y 4 : 70%,15 /10 Cal bike ,,(1 pirueta cada 5 m ),
,5 x 3 @85%,,Time cap x vuelta 2' // 2' pausa .,10 1 db devil press alt (22.5/15),5 ROUNDS FOR TIME ,,
,Work out 1 : ,Work out 1: 0' to 12',Work out :,,30 sit up ( abmat ) ,,
,Intervalos : EMOM 20',For Quality ,6 sets 1' on x 1' off ,,15 Double DB Shoulder to oh (22.5/15),,
,M1: 30 toes to bar * ,4 Rounds of :,12 hang squat clean (45/30),,10 Double DB Devil Press,,
,M2: 20 Front rack lunges (70/50),7-5 Strict pull up ,12 Stoh ,,(Time cap 15'),,
,M3 : Max Burpee Plate ,12 weighted Pistol alt (21/12),Max rep Front squat ,,,,
,M4: Rest ,5 Wallwalks ,UNICO objetivo realizar ubk la ronda,,,,
,Trabajo termina al alcanzar 75 Burpee Plate ,12' to 15' Rest ,Penalización X corte : 4 Wallwalks . Aunque me pase del tiempo de trabajo ,,,,
,Work out 2:,Work out 2 : ,,,,,
,FOR TIME ,AMRAP 15',,,,,
,1.5 km Run ,15 Chest to bar pull up,,,,,
,3 millas assault bike ,15 kb hang snatch (21/12),,,,,
,(Time cap H:17'/ M: 19'),15 Hand stand push up ,,,,,
,,15 goblet squat ,,,,,
,,,,,,,
,,,,,,,
,Clase ,,,,,,
,3 sets ,3 sets ,,,,,
,10 rotaciones cadera 90/90 ,"20 "" deadhang ",,,,,
,10 bootstrapper squat ,5 walk out + push up,,,,,
,10 block and twist ,20 jumping jacks ,,,,,
,Warm up ,Warm up ,,,,,
,EMOM 12' ,3 sets ,,,,,
,- 10 muscle snatch ,10/10 kb row ,,,,,
,- 10 sott press / b.n st press,10/10 crunches desde plancha lat,,,,,
,- 20 tuck up + 20 espinales,30 russian twist ( sin carga ),,,,,
,- 30 Air squat ,,,,,,
,FUERZA ,Técnica Rope climb ,,,,,
,SNATCH + ,10' práctica Rope climb ,,,,,
,HANG POWER SNATCH ,- avanzados puede hacer wod1,,,,,
,7 x ( 1 + 2 ) ,AMRAP 15' ( Teams of 2) ,,,,,
,- 4 sets de carga ,30 goblet squat sincro,,,,,
,- 3 sets @70%,15 kb hang snatch sincro ,,,,,
,Work out : ,30 Push up sincro ,,,,,
,EMOM 20',1 Rope climb c/u,,,,,
,M1: 30 toes to bar * ,,,,,,
,M2: 20 Front rack lunges 50/35,,,,,,
,M3 : Max Burpee Plate ,,,,,,
,M4: Rest ,,,,,,
,Trabajo termina al alcanzar 75 Burpee Plate ,,,,,,
