SEMANA 1,,,,,,,,,
LUNES ,,,,,,,,,
ARR C1 + SENT ARR,Porcentaje,39%,54%,69%,69%,69%,69%,,
,Reps,2+2,2+2,2+2,2+2,2+2,2+2,,
,,,,,,,,,
CARG + SENT +2T,Porcentaje,43%,57%,69%,69%,69%,69%,,
,Reps,1+1+2,1+1+2,1+1+2,1+1+2,1+1+2,1+1+2,,
,,,,,,,,,
SENTADILLA,Porcentaje,50%,60%,70%,80%,70%,65%,65%,
,Reps,3,3,2,1,3,6,6,
,,,,,,,,,
MIERCOLES,,,,,,,,,
ARR SIN DESPLA + SENT ARR,Porcentaje,39%,54%,69%,69%,69%,69%,,
,Reps,2+2,2+2,2+2,2+2,2+2,2+2,,
,,,,,,,,,
CARG C3 + FZA C/IMP,Porcentaje,44%,56%,65%,65%,65%,65%,,
,Reps,2+2,2+2,2+2,2+2,2+2,2+2,,
,,,,,,,,,
VIERNES,,,,,,,,,
ARRANQUE,Porcentaje,39%,54%,70%,70%,70%,70%,77%,
,Reps,3,3,2,2,2,2,2,
,,,,,,,,,
ENVION,Porcentaje,43%,57%,69%,75%,75%,75%,,
,Reps,4,4,4,4,4,4,,
,,,,,,,,,
TIR ARR ALTO,Porcentaje,63%,63%,63%,,,,,
,Reps,3,3,3,,,,,
,,,,,,,,,
SENTADILLA ,Porcentaje,50%,60%,70%,77%,77%,77%,77%,60%
,Reps,3,3,2,2,2,2,2,8
,,,,,,,,,
SEMANA 2,,,,,,,,,
LUNES ,,,,,,,,,
CARG + SENT + 2T,Porcentaje,43%,57%,69%,69%,69%,69%,,
,Reps,1+1+2,1+1+2,1+1+2,1+1+2,1+1+2,1+1+2,,
,,,,,,,,,
ARR + SENT ARR,Porcentaje,39%,54%,69%,69%,69%,69%,,
,Reps,2+2,2+2,2+2,2+2,2+2,2+2,,
,,,,,,,,,
SENTADILLA,Porcentaje,50%,60%,70%,80%,70%,65%,65%,
,Reps,3,3,2,1,3,6,6,
,,,,,,,,,
MIERCOLES,,,,,,,,,
ARR C3 PAR,Porcentaje,39%,54%,54%,54%,54%,54%,,
,Reps,3,3,3,3,3,3,,
,,,,,,,,,
2T POTENCIA,Porcentaje,44%,57%,63%,69%,69%,69%,69%,
,Reps,3,3,3,3,3,3,3,
,,,,,,,,,
FZA C/IMP TRAS NUCA,Porcentaje,44%,56%,62%,62%,62%,69%,,
,Reps,4,4,4,4,4,2,,
VIERNES,,,,,,,,,
ARRANQUE,Porcentaje,39%,54%,70%,70%,70%,77%,77%,
,Reps,3,3,2,2,2,2,2,
,,,,,,,,,
ENVION,Porcentaje,43%,57%,69%,75%,78%,75%,,
,Reps,1+1X2,1+1X2,1+1X2,1+1X2,1+1X2,1+1X2,,
,,,,,,,,,
SENTADILLA ADELANTE,Porcentaje,50%,60%,70%,75%,80%,83%,70%,70%
,Reps,3,3,3,2,1,1,5,5
,,,,,,,,,
,Porcentaje,,,,,,,,
,Reps,,,,,,,,
,,,,,,,,,
SEMANA 3,,,,,,,,,
LUNES ,,,,,,,,,
TIRON + CARGADA + 2T,Porcentaje,43%,57%,69%,75%,81%,75%,75%,
,Reps,1+1+2,1+1+2,1+1+2,1+1+2,1+1+1,1+1+2,1+1+2,
,,,,,,,,,
ARR C3 + SENT ARR,Porcentaje,39%,54%,69%,73%,73%,73%,,
,Reps,2+1,2+1,2+1,2+1,2+1,2+1,,
,,,,,,,,,
SENTADILLA ADELANTE,Porcentaje,50%,60%,70%,75%,80%,83%,70%,70%
,Reps,3,3,3,2,1,1,5,5
,,,,,,,,,
MIERCOLES,,,,,,,,,
ARR PAR + METIDAS DE ARR,Porcentaje,39%,54%,54%,61%,61%,61%,,
,Reps,2+2,2+2,2+2,2+2,2+2,2+2,,
,,,,,,,,,
FZA C/IMP ADELANTE-ATRAS-ADELANTE,Porcentaje,44%,57%,63%,65%,65%,65%,,
(PORCENTAJE DE CLEAN AND JERK),Reps,3,3,3,3,3,3,,
,,,,,,,,,
2T POTENCIA,Porcentaje,44%,57%,63%,69%,69%,69%,69%,
,Reps,3,3,3,3,3,3,3,
VIERNES,,,,,,,,,
ARR + SENT ARR ,Porcentaje,39%,54%,69%,77%,77%,77%,,
,Reps,2+2,2+2,2+2,2+1,2+1,2+1,,
,,,,,,,,,
CARG C1 + FZA C/IMP,Porcentaje,44%,56%,65%,65%,69%,69%,,
,Reps,2+2,2+2,2+2,2+2,2+1,2+1,,
,,,,,,,,,
SENTADILLA,Porcentaje,50%,60%,70%,79%,84%,68%,68%,
,Reps,3,3,2,1,1,6,6,
,,,,,,,,,
,Porcentaje,,,,,,,,
,Reps,,,,,,,,
,,,,,,,,,
SEMANA 4,,,,,,,,,
LUNES ,,,,,,,,,
ARRANQUE SIN DESPLAZAR ,Porcentaje,39%,54%,69%,77%,81%,77%,77%,
,Reps,3,3,2,2,2,3,3,
,,,,,,,,,
CARG + SENT + 2T,Porcentaje,43%,57%,69%,75%,81%,81%,75%,75%
,Reps,1+1+2,1+1+2,1+1+2,1+1+1,1+1+1,1+1+1,1+1+2,1+1+2
,,,,,,,,,
SENTADILLA,Porcentaje,50%,60%,70%,79%,84%,68%,68%,
,Reps,3,3,2,1,1,6,6,
,,,,,,,,,
MIERCOLES,,,,,,,,,
ARRANQUE INGLE PARADO,Porcentaje,39%,54%,54%,54%,54%,54%,,
,Reps,3,3,3,3,3,3,,
,,,,,,,,,
2T,Porcentaje,44%,57%,63%,69%,69%,69%,69%,
,Reps,3,3,3,3,3,3,3,
,,,,,,,,,
,Porcentaje,,,,,,,,
,Reps,,,,,,,,
VIERNES,,,,,,,,,
ARRANQUE SIN STRAPS,Porcentaje,39%,54%,70%,77%,80%,73%,73%,
,Reps,3,3,2,1,1,2,2,
,,,,,,,,,
ENVION,Porcentaje,43%,57%,69%,82%,88%,82%,,
